stock_symbol,open_price,current_price,high_price,low_price,trading_volume,market_trend,date
GOOGL,180.25342505699032,178.67523193359375,180.75285268181247,178.3356095653103,23184000,Downward,2024-11-13
GOOGL,178.0759037938209,175.37899780273438,178.6152941368307,174.12044573791286,31007500,Downward,2024-11-14
GOOGL,173.5311122159291,172.29254150390625,173.9406465119526,171.02399111342126,32504600,Downward,2024-11-15
GOOGL,173.2214668063966,175.0993194580078,175.23915857623498,172.70205783527248,20206600,Upward,2024-11-18
GOOGL,173.52113492372038,177.9160919189453,178.66523335503967,173.3613144261031,23434900,Upward,2024-11-19
GOOGL,177.13697761802752,175.77853393554688,177.47658472831748,173.58105554247194,18997100,Downward,2024-11-20
GOOGL,173.70092179220046,167.4381103515625,173.93066947333787,163.51260129552495,59734400,Downward,2024-11-21
GOOGL,165.66014438880168,164.57138061523438,166.26944668285782,163.7123645160949,38604600,Downward,2024-11-22
GOOGL,165.8998571680873,167.45806884765625,168.43695792128977,165.4204109377555,33135300,Upward,2024-11-25
GOOGL,167.43810706347386,168.9263916015625,169.62560245554164,167.38816125371517,20486700,Upward,2024-11-26
GOOGL,168.80653770105775,169.03627014160156,169.28598395476882,167.8276638210122,19266500,Upward,2024-11-27
GOOGL,168.30710998168675,168.756591796875,169.236038050321,166.96864760176737,14257200,Upward,2024-11-29
GOOGL,168.5767985152317,171.29368591308594,171.88300683066288,168.37703052095557,23789100,Upward,2024-12-02
GOOGL,171.29368202779142,171.1438446044922,172.4823069012363,170.65441531581507,22248700,Downward,2024-12-03
GOOGL,170.95406461457648,174.17037963867188,174.70976999200622,170.86417130279446,31615100,Upward,2024-12-04
GOOGL,175.15925501840792,172.44236755371094,175.858450636237,172.13272486876673,21356200,Downward,2024-12-05
GOOGL,171.83306973436635,174.510009765625,174.8795813358406,171.6632661685559,21462400,Upward,2024-12-06
GOOGL,173.9600067138672,175.3699951171875,176.25999450683594,173.64999389648438,25389600,Upward,2024-12-09
GOOGL,182.85000610351562,185.1699981689453,186.36000061035156,181.0500030517578,54813000,Upward,2024-12-10
GOOGL,185.30999755859375,195.39999389648438,195.61000061035156,184.85000610351562,67894100,Upward,2024-12-11
GOOGL,195,191.9600067138672,195.17999267578125,191.7100067138672,34817500,Downward,2024-12-12
GOOGL,191.00999450683594,189.82000732421875,192.72999572753906,189.63999938964844,25143500,Downward,2024-12-13
GOOGL,192.8699951171875,196.66000366210938,199,192.6199951171875,44934900,Upward,2024-12-16
GOOGL,197.25,195.4199981689453,201.4199981689453,194.97999572753906,43482900,Downward,2024-12-17
